PC,#Cores,grid-X,grid-Y,#threads,#threads-X,#threads-Y,thread-Width,thread-Height,times
Lukas_Desktop,4,1024,1024,1,1,1,1024,1024,"[20.041, 20.026, 20.029, 20.029, 22.083]"
Lukas_Desktop,4,1024,1024,2,1,2,1024,512,"[10.088, 10.082, 10.074, 10.068, 10.045]"
Lukas_Desktop,4,1024,1024,2,2,1,512,1024,"[10.079, 10.056, 10.052, 10.056, 10.045]"
Lukas_Desktop,4,1024,1024,3,1,3,1024,341,"[7.01, 7.009, 7.007, 7.009, 7.008]"
Lukas_Desktop,4,1024,1024,3,3,1,341,1024,"[7.015, 7.014, 7.012, 7.052, 7.011]"
Lukas_Desktop,4,1024,1024,4,1,4,1024,256,"[5.075, 5.066, 5.078, 5.085, 5.063]"
Lukas_Desktop,4,1024,1024,4,2,2,512,512,"[5.079, 5.065, 5.073, 5.074, 5.068]"
Lukas_Desktop,4,1024,1024,4,4,1,256,1024,"[5.079, 5.075, 5.075, 5.079, 5.076]"
Lukas_Desktop,4,2048,2048,1,1,1,2048,2048,"[81.015, 81.012, 84.029, 85.002, 84.099]"
Lukas_Desktop,4,2048,2048,2,1,2,2048,1024,"[42.065, 42.069, 42.072, 42.066, 42.063]"
Lukas_Desktop,4,2048,2048,2,2,1,1024,2048,"[42.064, 42.067, 42.065, 42.065, 41.087]"
Lukas_Desktop,4,2048,2048,3,1,3,2048,682,"[28.039, 28.021, 28.022, 28.013, 28.006]"
Lukas_Desktop,4,2048,2048,3,3,1,682,2048,"[28.029, 28.085, 29.095, 28.028, 28.073]"
Lukas_Desktop,4,2048,2048,4,1,4,2048,512,"[23.034, 22.045, 22.071, 22.06, 22.044]"
Lukas_Desktop,4,2048,2048,4,2,2,1024,1024,"[22.049, 22.084, 22.063, 22.083, 22.056]"
Lukas_Desktop,4,2048,2048,4,4,1,512,2048,"[23.025, 22.049, 22.047, 22.05, 22.044]"
Lukas_Desktop,4,4096,4096,1,1,1,4096,4096,"[333.083, 326.033, 325.041, 335.095, 341.087]"
Lukas_Desktop,4,4096,4096,2,1,2,4096,2048,"[171.012, 170.001, 169.057, 166.013, 165.013]"
Lukas_Desktop,4,4096,4096,2,2,1,2048,4096,"[165.039, 170.063, 170.078, 168.012, 165.008]"
Lukas_Desktop,4,4096,4096,3,1,3,4096,1365,"[112.067, 117.029, 117.083, 117.078, 117.084]"
Lukas_Desktop,4,4096,4096,3,3,1,1365,4096,"[117.06, 117.001, 116.089, 116.083, 117.009]"
Lukas_Desktop,4,4096,4096,4,1,4,4096,1024,"[88.011, 87.092, 88.031, 87.093, 88.028]"
Lukas_Desktop,4,4096,4096,4,2,2,2048,2048,"[87.096, 87.096, 89.0, 89.015, 91.075]"
Lukas_Desktop,4,4096,4096,4,4,1,1024,4096,"[93.066, 92.079, 93.052, 89.04, 89.047]"
